Player Name,Team,Playing Time,Distance,HS Distance,HS Runs,Sprint Distance,Sprints,Max Speed,Timestamp,Period,HI Distance
Anders Bleg Christiansen,Malmö FF,93,11825.852,160.568,15,110.183,3,30.726,73:47,2,271
Jo Inge Berget,Malmö FF,93,11353.177,263.81,25,173.719,10,29.5596,46:42,1,438
Abdul Rahman Khalili,Hammarby,93,11303.804,215.189,21,122.782,7,29.1348,73:49,2,338
Gustav Ludwigson,Hammarby,93,11219.259,161.387,17,226.606,10,31.4676,19:44,1,388
Jeppe Andrup Andersen,Hammarby,93,11179.413,95.15,7,13.462,1,25.452,66:58,2,109
Mads Fenger Nielsen,Hammarby,93,11169.597,150.558,12,107.187,7,27.5688,64:29,2,258
Antonio Colak,Malmö FF,93,11095.317,281.558,32,279.659,13,29.9844,87:42,2,561
Ouattara Mohammed Aziz,Hammarby,93,11016.357,192.227,16,82.533,3,31.266,6:56,1,275
Søren Rieks,Malmö FF,90.3,10721.675,246.761,30,131.549,7,28.5912,73:48,2,378
Bonke Innocent,Malmö FF,93,10693.297,152.228,11,27.388,1,32.5944,19:45,1,180
Jonas Bruun Knudsen,Malmö FF,93,10656.796,292.284,24,160.627,8,28.818,73:47,2,453
Eric Larsson,Malmö FF,93,10584.167,293.001,30,235.983,11,29.9844,48:40,2,529
Franz Brorsson,Malmö FF,93,10224.252,160.781,13,159.127,9,30.8376,62:25,2,320
Anel Ahmedhodzic,Malmö FF,93,10167.472,117.022,12,89.16,4,30.4956,47:3,2,206
Astrit Selmani,Hammarby,93,10080.162,203.866,18,173.303,8,29.9268,84:19,2,377
Richard Magyar,Hammarby,93,9630.058,130.261,10,61.879,2,30.4056,87:43,2,192
Jón Gudni Fjóluson,Hammarby,93,9509.053,61.481,8,88.753,5,29.9196,57:13,2,150
Mohanad Jeahze,Hammarby,91.916666666666671,9472.126,99.03,11,32.249,3,29.3616,62:26,2,131
Akinkunmi Ayobami Amoo,Hammarby,81.2,8687.633,160.904,18,225.01,9,33.1596,48:40,2,386
Ola Toivonen,Malmö FF,61.016666666666666,6653.965,65.548,7,28.557,1,26.1144,6:57,1,94
David Ousted,Hammarby,93,5477.774,0,0,0,0,23.5908,11:53,1,0
Marko Johansson‌,Malmö FF,93,5299.405,0,0,0,0,21.5388,73:47,2,0
Adi Nalic‌,Malmö FF,39.93333333333333,4959.944,208.606,16,102.562,6,29.43,57:12,2,311
Vladimir Rodic,Hammarby,19.75,2046.657,78.226,7,22.816,2,26.5896,86:43,2,101
Sebastian Nanasi‌,Malmö FF,10.65,1149.144,30.127,4,12.973,1,25.4124,87:44,2,43
Dennis Widgren,Hammarby,9.0333333333333332,971.135,0,0,0,0,24.6744,90:45,2,0
Lasse Ladegaard Nielsen,Malmö FF,6.166666666666667,407.929,6.832,1,0,0,23.9184,89:49,2,7
Darijan Bojanic,Hammarby,2.4,285.531,0,0,0,0,18.324,94:0,2,0
